100598	To calculate the density of an apple, one must know the __________ and __________ of the apple.	B	height, volume	mass, volume	mass, weight	height, weight
100608	Scientific concepts found in experiments and investigations may be communicated in the form of __________.	D	well-developed hypotheses	written reports only	oral presentations only	written reports and oral presentations
100630	In the Milky Way Galaxy, there are __________.	D	many planets but only one star	many stars but only one planet	many stars and many galaxies	many stars and many planets
100634	A(n) __________ is a substance made of weakened, dead or incomplete parts of pathogens or antigens that, when given to an organism, causes an immune response.	D	antibody	lymphocyte	macrophage	vaccine
100636	__________ is the process plants use to capture the sun's energy and build carbohydrates that store energy.	D	Cellular respiration	Fermentation	The citric acid cycle	Photosynthesis
100646	During the process of a bacterial transformation, __________.	B	the bacterium loses at least one gene	at least one gene is inserted into the genome of the bacterium	the bacterium is transformed into another species	the new bacterium loses all genetic characteristics present before the transformation occurred
100649	Plants cells contain chloroplasts, necessary for the production of __________ from light energy.	B	water	food	carbon dioxide	oxygen
100651	A zygote is formed when __________.	D	the process of meiosis is completed	the egg is formed during meiosis	crossing over occurs during meiosis	the sperm fertilizes the egg
100658	Cells are enclosed within __________ membranes that regulate their interaction with their surroundings.	C	fully permeable	nonpermeable	semipermeable	single layer
100659	Mature sperm cells have a flagellum that functions to __________.	A	propel sperm forward	release energy for the sperm	store genetic information for the sperm	produce semen
100683	When calculating distance in space, planets appear to move __________ stars.	B	at the same speed as	faster than	in different directions than	slower than
100688	In the water cycle, the formation of clouds through the change of water from a gas back into a liquid is known as __________.	B	evaporation	condensation	transpiration	precipitation
100694	With relation to ocean currents, gyres are __________.	A	large whirls of water within an ocean basin	seamounts submerged on ocean basins	strong gale force winds	another name for a tsunami
100696	The gravitational force between two planets depends on __________.	A	the mass of the planets and the distance between them	the mass of the planets and the direction of their orbits	the mass of the planets only	the distance between the planets and the direction of their orbits
100699	The nervous system works together to communicate with different parts of the body and with the external environment.  Spinal cord damage can affect the whole system because the spinal cord __________.	C	controls the actions of the brain and peripheral nerves	is the most important organ in the nervous system	mediates communication from the brain to the rest of the body	is primarily involved in communication with the external environment
100702	A viral infection that causes death in a significant number of individuals in a population is an example of __________.	A	an environmental factor	genetic variation	evolution	diversity
100704	If light were to travel through flat glass, __________.	B	it will bend	it will continue in a straight line	it will bounce off of the glass	it will enlarge an image
100715	The skin serves as a barrier protection against disease-causing microorganisms known as _________.	A	pathogens	antibodies	histamines	antigens
100725	The nervous system is responsible for sensing and responding to internal and external stimuli, however sensations and responses don't become conscious to the individual until they are processed in the __________.	C	motor neuron	sensory neuron	brain	interneuron
100728	In order for a species to evade extinction, mutations that produce adaptive traits must __________.	C	occur in somatic cells	occur in all individuals	be passed to offspring	increase the species' size
100732	Earthquakes most often happen along __________ faults.	D	new	small	large	existing
100734	A chemist has discovered what she thinks is a new molecule.  In order for it to be a molecule, it must __________.	C	have the same properties as the elements from which it is made	be composed of the same elements	be made of two or more atoms of elements	contain different compounds bonded together
100752	Differences between the life cycles of stars may be revealed through the collection of data by X-ray __________.	B	microscopes	telescopes	machines	crystallography
100761	An atom whose nucleus emits or traps particles and changes into a different element over time is known as __________.	D	a positive ion	a negative ion	a halogen	a radioactive isotope
100762	A __________ would be classified as malleable and ductile, while a __________ is considered brittle.	C	nonmetal, semimetal	nonmetal, metal	metal, semimetal	semimetal, metal
100764	A galaxy is made up of __________.	C	a single star with planets in orbit around the star	several planets but no stars	billions of stars	just one star
100768	In order for the eye to process color, retinal cells __________.	D	reflect all white light	known as rods, respond to the color	expand the size of the pupil	react differently to different wavelengths of light
100782	Natural selection and genetic drift drives __________.	A	evolutionary change	monstrous mutations	identical genetics	environmental change
100791	A red shift occurs because light waves are __________.	D	reflected	condensed	non-existent	increased
100800	Uniformitarianism can be described as __________.	A	an idea that geologic processes gradually and continuously shape the Earth	an idea that geologic processes immediately and rarely shape the Earth	an idea that geologic processes shape the Earth in the same way	an idea that geologic processes are always gradual and extremely rare
100813	At one atmosphere of pressure, liquid water boils at 100°C.  At the same pressure, water molecules at temperatures higher than 100°C will  have __________.	A	more motion energy than liquid water molecules	the same motion energy as liquid water molecules	less motion energy than liquid water molecules	less motion energy than solid water molecules
100817	Inherited traits that do not have simple inheritance patterns, such as hair color, are usually determined by __________.	A	multiple genes	one gene	mitochondrial DNA	multiple chromosomes
100834	Leaf litter on the forest floor becomes new soil through the actions of __________.	A	decomposers	scavengers	tree roots	secondary consumers
100835	Genetic diversity of a species __________.	B	increases the birth rate	increases the chance of the species' survival	decreases the chance of the species' survival	decreases the birth rate
100847	__________ by both plants and animals returns carbon dioxide to the atmosphere.	C	Excretion	Evaporation	Respiration	Transpiration
100856	Males start producing sperm cells when they __________.	C	are born	are sexually aroused	reach sexual maturity	engage in sexual activity
100866	Earth is located on the outer edge of the disc-shaped __________ galaxy.	C	Orion	Big Dipper	Milky Way	Solar System
100867	Sugars are the smaller units that are used to make __________.	A	carbohydrates	lipids	proteins	nucleotides
100891	When telling the steps in a scientific investigation, they should be relayed in such a way that the audience__________.	B	gets a general idea as to what was done	can exactly replicate the procedure	knows exactly what was done, but does not know how much of each ingredient was used	knows just enough information to understand what the investigation was about
100893	The flatworm, Planaria, is able to divide into two distinct organisms with the same DNA.  This type of reproduction is an example of __________.	D	sexual reproduction	spawning	hermaphroditic reproduction	asexual reproduction
100894	When reactants combine, the resulting products need to have __________ the reactants.	A	different properties than	the same properties as	many properties in common with	None of the above
100911	The force of the Earth's gravity on an object gives the object its __________.	B	mass	weight	density	volume
100920	Movement that occurs when a muscle contracts to bring two bones that are in the same joint closer together is called __________.	C	relaxation	protection	flexion	extension
100938	The skin produces an acidic mantle that provides protection against __________.	D	elements with a ph below 7	hot weather	cold weather	all elements
100954	A permanent environmental change lead to the death of most of the individuals in a population of African elephants; however the extinction of the species did NOT occur.  This is most likely because __________.	B	the environmental change was quickly reversed	surviving individuals had traits that adapted to the environment	surviving individuals mated with a population of a stronger species	surviving individuals migrated to another, more suitable environment
100956	Our planet's original atmosphere was __________ the atmosphere that is today.	D	similar to	less volcanic	more seasonal	more volcanic than
100996	The __________ is the female sex cell, whereas, the __________ is the male sex cell.	C	XX; XY	XY; XX	egg; sperm	sperm; egg
101001	Mitochondria are to cellular respiration as __________ are to photosynthesis.	D	Golgi bodies	vacuoles	ribosomes	chloroplasts
101003	The structures responsible for completing the breakdown of carbohydrates into usable energy for the cell are the __________.	B	nuclei	mitochondria	ribosomes	chloroplasts
101016	Changes to a substance that do not involve a permanent reordering of atoms are known as __________.	D	irreversible changes	exothermic changes	chemical changes	physical changes
101024	A weatherman describes a storm approaching at 60 Km/h from the North West. The weatherman is describing the storm's __________.	C	acceleration	speed	velocity	constant speed
101025	With accordance with the Doppler effect, if a source is moving away, its light appears __________ than it actually is because its waves appear lengthened.	A	redder	weaker	brighter	bluer
101033	If a certain allele always determines the phenotypical expression of a gene, then it is referred to as the __________ allele.	A	dominant	recessive	homozygous	heterozygous
101037	A molecule is composed of two or more __________.	B	substances	atoms	compounds	electrons
101046	To study certain rays, NASA uses the __________ Observatory for evidence of black holes where gravity is so strong, visible light cannot escape.	B	Gamma X-Ray	Chandra X-Ray	Orion P-Ray	Hubble Z-Ray
101055	A population of birds of the same species has three slightly different beak sizes.  The differences in the beaks are MOST likely due to __________.	C	inbreeding	competition in feeding	genetic variation	mass extinctions
101058	The California aqueduct exists in order to __________.	D	divert floodwater into drought affected areas	provide a water transportation system for freight ships	transport ocean water into farm areas	transport freshwater into highly populated areas
101069	A complex called chromatin makes up the chromosomes found in human cells.  Chromatin is made of __________.	A	DNA and protein	protein only	DNA only	RNA and protein
101072	An impulse in a neuron _________.	C	moves from the outside to the inside of the axon	moves from the inside to the outside of the axon	is the movement of an action potential along an axon	is the rate of movement in a neuron
101083	The plasma membrane of cellular organisms is made of molecules that consist PRIMARILY of __________.	A	carbon and hydrogen	carbon and silicon	hydrogen and oxygen	water and carbon
101113	All cells in the body, including hair, muscle, skin, and blood cells can be developmentally traced back to a single __________.	C	brain cell	sperm cell	fertilized egg	strand of DNA
101121	The preserved remains of ancient organisms that allow scientists to determine their structure are called __________.	D	adaptations	common ancestors	organs	fossils
101122	__________ is made up of a large collection of stars, gas, and dust, held together by gravity.	A	A galaxy	A planet	The sun	Our solar system
101160	An archeologist is looking for fossils in the mountains.  In one rock, she finds some fossils of shark teeth and coral.  The fossils this archeologist found show that the mountain was MOST LIKELY __________ a long time ago.	C	at a higher elevation	covered in ice	under the sea	part of a tropical forest
101164	Vertebrates, animals that have backbones, all reproduce __________.	A	sexually	asexually	by internal fertilization	through pollination
101169	During fertilization, half of the DNA comes from the __________ provided by the mother, while the other half of the DNA is provided by the father in the form of a(n) __________.	C	sperm, egg	ovary, testicle	egg, sperm	testicle, ovary
101176	A(n) __________ is an object in space made of ice, rock, and dust that gives off gas and dust in the form of a tail as it orbits the sun.	B	asteroid	comet	meteor	nebula
101180	Changes in population size in an ecosystem are directly determined by the __________.	D	number of births and deaths	number of producers	movement of organisms in and out	both A and C
101185	Scuba divers will often use weights to change their relative buoyancy.  If the scuba diver's weight is equal to the buoyant force of the water, the diver will __________.	C	sink down in the water	float up in the water	remain suspended in the water	get vertigo because of the equilibrium
101194	The atomic number of an atom tells the number of __________.	C	atoms in a reaction	electrons in an atom	protons in an atom	the atomic mass of an atom
101206	The __________ is Earth's largest depository of carbon.	A	lithosphere	asthenosphere	outer core	inner core
101207	The trend of the periodic table has nonmetals __________.	B	on the left	on the right	on the bottom only	scattered throughout the entire table
101216	Two teams participating in a tug of war are pulling on each side of the rope with the same force.  The rope's motion will __________.	B	change in speed, but not direction	not change	alternate moving to the right and the left	change in direction, but not in speed
101218	Water can be seen in living organisms by __________.	D	squeezing the juice out of an orange	perspiration in humans	saliva in dogs	All of the above
101228	MOST of the DNA in a cell can be found in the __________.	D	chloroplast	ribosome	vacuole	nucleus
101240	In order for an optical telescope to create an image that is a great distance away, the telescope must collect as much __________ as possible.	A	light	of a star's image	of a planet's image	heat
101247	Light travels differently as it passes through different substances.  A substance that light travels through is called a __________.	A	medium	transparency	density	focal point
101248	Vaccinations can __________ diseases in humans.	C	cure	cause	prevent	increase
101262	A researcher is explaining the scientific concepts behind an investigation into a new diabetes treatment.  Before she talks about the hypothesis of her experiment, she must explain the __________.	B	conclusion to the experiment	question or problem to be solved	observational data	experimental procedure
101277	Many times scuba divers use weights to change their relative buoyancy.  If the scuba diver's weight is less than the buoyant force of the water, the diver will ___________.	B	sink down in the water	float up in the water	be suspended in the water	die due to the pressure of the water
101278	Carbon is an important element for life and is found in __________ molecules in living organisms.	D	all of the organisms	all of the small (inorganic) organisms	only large (organic) organisms	both large (organic) and small (inorganic) organisms
101292	The basis for the modern theory of evolution was proposed by __________.	D	Francis Crick	Robert Hooke	Carl Linnaeus	Charles Darwin
101313	Microfilaments and microtubules, which form the cytoskeleton in eukaryotic cells, are both made of __________.	C	cellulose	nucleic acids	protein	polysaccharides
101343	A(n) __________ is the sequence of nucleotides on the mRNA that tells the ribosome to end the amino acid sequence and release the new protein.	C	exon	repressor protein	stop codon	operon
101349	Scientists have been able to propose theories about how major geological features, like the Grand Canyon, form because they assume that geological processes today occur __________.	A	similar to processes in the past	more quickly than processes in the past	slower than processes in the past	with fewer unconformities than processes in the past
101361	A structure that is found in plant cells, but NOT in animal cells is the __________.	B	cell membrane	cell wall	nucleus	cytoplasm
101364	Because velocity requires both a magnitude value and a direction, it is considered a(n) __________.	B	measurable quantity	vector quantity	immeasurable quantity	distance quantity
101385	The law that states that atoms do not appear or disappear in chemical reactions, is the Law of __________.	C	Conservation of Energy	Atom Stability	Conservation of Matter	Balancing Equations
101386	The function of the mitochondria is to __________.	B	store DNA	make energy for the cell	make proteins	store water and other nutrients
101387	It might be difficult to determine the inherited eye color of a baby based on her mother and father's eye color because __________.	C	the color of a baby's eyes tends to change over time	the baby may inherit either the mother's or the father's DNA	eye color is determined by several genes	genes for eye color come from grandparents and not from the mother's or father's genes
101396	The peripheral nervous system is composed of all of the neurons __________.	C	that are sensory in function	in the brain and spinal cord	outside the brain and spinal cord	inside the cerebellum and brain stem
101416	The mitochondria in a cell release __________.	D	proteins	DNA	RNA	energy
101420	A substance made up of two or more elements that have been chemically combined is called __________.	A	a compound	an atom	a mixture	a solution
101435	Snow that falls in Sierra Nevada is a major source of __________ water supply.	D	Nevada's	Colorado's	Arizona's	California's
101446	The process by which an egg and a sperm fuse to form a zygote is called __________.	A	fertilization	binary fission	nondisjunction	mitosis
101455	The process in which substances enter the cell without the use of energy is called __________.	A	passive transport	active transport	exocytosis	endocytosis
101459	DNA's structure is made up of free floating nucleotides bonded together to form a double helix.  The backbone of the DNA strand is made up of a __________.	B	sugar, phosphate group, and nitrogenous base	sugar and phosphate group	nitrogenous base and a sugar	phosphate group and nitrogenous base
101472	Motion towards, away, to the right or left, and up or down from the origin are all ways of describing an object's __________.	D	position	speed	velocity	direction
101482	Plants that have similar internal transport systems, which contain xylem and phloem, all have a large degree of evolutionary relatedness.  These plants are known as __________.	A	vascular plants	non-vascular plants	primary consumers	algae
101484	When the entire species of mole-rats genetically altered over time, growing larger teeth and longer claws, the species as a whole __________.	B	adapted	evolved	mutated	emigrated
101496	Stars exist due to a balance formed between __________.	D	inward force from the pull of gravity and the outward pressure of chemical reactions	inward force from nuclear fusion and the outward pressure of gravity	inward force from chemical reactions and the outward pressure from nuclear fusion	inward force from the pull of gravity and the outward pressure from nuclear fusion
101505	A single gene in an organism always affects __________.	C	its corresponding trait	multiple traits	a single trait or multiple traits, depending on the gene	only the physical appearance of the organism
101518	Atoms are composed of __________.	D	protons, neutrons and negatons	positons, neutrons and electrons	protons, notrons and electrons	protons, neutrons and electrons
101524	Blood pressure is generated by __________.	B	valves in the heart	contractions of the heart muscle	veins	contraction of the diaphragm muscle
101525	The nucleus of the atom contains the __________.	B	protons, neutrons and electrons	protons and neutrons only	protons and electrons	electrons and neutrons
101529	Photosynthesis is the process by which plants use carbon dioxide, water, and energy from the sun to form oxygen and energy-rich sugar molecules.  In this reaction, oxygen and energy-rich sugar molecules are the only __________.	C	wastes	reactants	products	gases
101531	The unique cellular structure that protects the order and function inside an animal cell from the extra-cellular chaos beyond the cell's outer boundary is the __________.	B	cell wall	cell membrane	contractile vacuole	cytoplasm
101534	Igneous rocks usually __________.	B	can be scratched with a penny	are composed of silicate materials	contain primarily evaporates	normally contain fossils
101552	According to the law of reflection, the angle of incidence is equal to the __________.	B	angle of refraction	angle of reflection	angle of the normal	surface length of the medium
101562	A defensive protein produced by white blood cells (B cells) in response to foreign substances in the body is called a(n) __________.	B	antigen	antibody	pathogen	macrophage
101566	All somatic cells (body cells) in the body have __________.	A	a complete copy of your body's DNA	a copy of one set of chromosomes	the DNA for only the functions of that particular cell	a partial copy of DNA dependent on where the cell is located
101568	The atomic number of an atom ALWAYS allows you to know the number of __________.	C	atoms in a reaction	electrons in an atom	protons in an atom	the atomic mass of an atom
101605	Scientists can __________ bacteria to produce artificial sweeteners.	B	eliminate certain	genetically engineer	naturally select	vaccinate
101615	The formation of the planets, moons, stars, and solar systems into a spherical shape is due to the __________.	A	force of gravity	orbital paths	density of the solar object	location in space
101619	The change of position relative to a reference point describes an object's __________.	B	force	motion	mass	acceleration
101626	Chemical substances often go through physical and chemical changes.Chemical changes are different from physical changes because chemical changes __________.	B	are easily reversible	have new molecules as products	can change a solid to a liquid	can be undone to recover the reactants
101646	Stem cells are cells that are undifferentiated.  This means that stem cells have not yet developed __________.	B	a nuclear membrane	their certain functions	a full set of DNA	protective cell membranes
101648	If scientists find the fossilized remains of an ancient leaf that is identical in size, shape, and structure to leaves found today, it probably means that __________.	B	plants have not experienced any change in form over time	environmental conditions of today and of the ancient leaf's time period are similar	the plant from which the leaf came will be able to survive any environmental change	the ancient leaf is not as old as scientists have estimated
101652	Early in Earth's history, there was a lack of oxygen in the atmosphere.  Photosynthesis added the needed oxygen to the atmosphere, which affected the climate by __________.	D	allowing more of the Sun's energy into the atmosphere	permitting more temperature fluctuations in the atmosphere	increasing the amount of rainfall in certain areas of the Earth	blocking out some of the harmful ultraviolet rays
101660	Conversion of nitrate ions to gaseous nitrogen by bacteria is __________.	C	ammonification	assimilation	denitrification	nitrogen fixation
101667	Scientists rarely use radioactive dating techniques to date sedimentary rock because radioactive dating only gives the __________.	A	date when the minerals were formed, not necessarily the rock	age of the earth, not necessarily the rock	age of minerals formed in igneous rock	half-life of sedimentary rock, not its true age
101670	Scientists searching for life in the solar systems similar to life on planet Earth should look PRIMARILY for __________.	D	hydrogen-based molecules	the presence of oxygen	green plants	carbon-based molecules
101697	Species extinction usually occurs when __________.	A	environmental conditions change	random mutations occur in DNA	feeding habits change	humans interact with organisms
101713	Group18 of the periodic table is known as the__________.	C	reactive metals	semimetals	noble gases	element Argon
101722	When carbon joins with other elements, the bond generally used is a(n) __________.	A	covalent bond	ionic bond	hydrogen bond	carbon bond
101732	Asexual organisms differ from sexual organisms in that asexual organisms __________.	C	have no genetic code	do not undergo reproduction	produce a new organism from a single parent	reproduce using cells from two parents
101736	When two planets move closer together, the gravitational forces between  them __________.	B	decrease	increase	disappear	remain constant
101739	Half of the traits inherited during sexual reproduction come from __________.	B	the environment	the mother	mutation	siblings
